"Name","Id","CPU","Memory","Path"
"svchost","3492","0.953125",,"C:\WINDOWS\system32\svchost.exe"
"svchost","3572",,,
"svchost","3616",,,
"svchost","3764",,,
"svchost","3820",,,
"svchost","3852",,,
"svchost","4008",,,
"svchost","4100",,,
"svchost","4116",,,
"svchost","4156",,,
"svchost","4428",,,
"svchost","4460","0.109375",,"C:\WINDOWS\system32\svchost.exe"
"svchost","4492",,,
"svchost","4512",,,
"svchost","4536",,,
"svchost","4620",,,
"svchost","4664",,,
"svchost","4836",,,
"svchost","5112",,,
"svchost","5708",,,
"svchost","6368",,,
"svchost","6540",,,
"svchost","6884",,,
"svchost","6992",,,
"svchost","7460",,,
"svchost","7468",,,
"svchost","8228","1.140625",,"C:\WINDOWS\system32\svchost.exe"
"svchost","8272","0",,"C:\WINDOWS\system32\svchost.exe"
"svchost","8308","1.828125",,"C:\WINDOWS\system32\svchost.exe"
"svchost","8448",,,
"svchost","8504",,,
"svchost","8892",,,
"svchost","8968",,,
"svchost","9392",,,
"svchost","9708","0.046875",,"C:\WINDOWS\system32\svchost.exe"
"svchost","9860",,,
"svchost","11300",,,
"svchost","11680",,,
"svchost","12004","0.15625",,"C:\WINDOWS\system32\svchost.exe"
"svchost","12396",,,
"svchost","12588",,,
"svchost","13172",,,
"svchost","15084",,,
"svchost","15180",,,
"svchost","15400",,,
"System","4",,,
"SystemSettings","3420","0.5",,"C:\Windows\ImmersiveControlPanel\SystemSettings.exe"
"SystemSettingsBroker","11288","0.46875",,"C:\Windows\System32\SystemSettingsBroker.exe"
"taskhostw","7920","0.03125",,
"taskhostw","8388","0.359375",,"C:\WINDOWS\system32\taskhostw.exe"
"TextInputHost","11128","1.75",,"C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe"
"TranslucentTB","12568","1.921875",,"C:\Program Files\WindowsApps\28017CharlesMilette.TranslucentTB_2025.1.0.0_x64__v826wp6bftszj\TranslucentTB.exe"
"unsecapp","13684",,,
"UserOOBEBroker","2864","0.015625",,"C:\Windows\System32\oobe\UserOOBEBroker.exe"
"Widgets","9212","0.21875",,"C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_526.1202.40.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe"
"WidgetService","14348","0.0625",,"C:\Program Files\WindowsApps\Microsoft.WidgetsPlatformRuntime_1.6.14.0_x64__8wekyb3d8bbwe\WidgetService\WidgetService.exe"
"WindowsTerminal","2204","0.375",,"C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe"
"wininit","936",,,
"winlogon","1392",,,
"wireguard","3116","0.828125",,
"wireguard","4704",,,
"wireguard","4716",,,
"wlanext","3988",,,
"WmiPrvSE","11988",,,
"WUDFHost","1112",,,
"WUDFHost","1268",,,
"WUDFHost","1328",,,
"WUDFHost","1944",,,
